Age,Experience,Purchase,Sample_Set
20,2.3,0,1
16.2,2.2,0,1
20.2,1.8,0,1
18.8,1.4,0,1
18.9,3.2,0,1
16.7,3.9,0,1
16.3,1.4,0,1
20,1.4,0,1
18,3.6,0,1
21.2,4.3,0,1
17.1,3.7,0,1
17.6,4.4,0,1
19.5,3.8,0,1
20.7,4.1,0,1
19.2,3.7,0,1
16.9,3.5,0,1
17.3,1.8,0,1
20.5,3.4,0,1
20.7,2.7,0,1
19.5,2.4,0,1
16.2,3.7,1,1
16.7,3.1,0,1
20.9,2.9,0,1
16.9,2.1,0,1
19.5,1.2,0,1
21.4,3.5,0,1
19.9,3.5,0,1
18.5,3.7,1,1
20.3,2.3,0,1
18.9,2.4,0,1
21.9,1.5,0,1
17.2,2.6,0,1
18.8,2.9,0,1
33.9,6.2,1,2
29.3,5.5,1,2
27.8,3.4,1,2
30.7,8.6,1,2
28.4,8.2,1,2
31.3,6.3,1,2
33.7,3.8,1,2
33.1,6.4,1,2
24.3,6.1,1,2
27.5,7.5,1,2
28.7,9.5,1,2
28.7,5.7,1,2
31.9,5.8,1,2
32.1,7.7,1,2
31.1,9.1,1,2
24.7,8.9,1,2
25.1,5.1,1,2
32.6,9.1,1,2
28.5,9,1,2
24.9,6.8,1,2
23.2,6.8,1,2
26.7,4.5,1,2
33.6,8.3,0,2
25.8,4.7,1,2
31.5,9.2,1,2
28,6.7,1,2
31.9,8.5,1,2
27.5,3.9,1,2
31.4,7.3,1,2
26.6,6.5,1,2
27.6,4.9,1,2
25.1,9.3,1,2
28,6.1,1,2
31.1,4.3,1,2
25.2,3.6,1,2
28.1,5.6,1,2
25.1,8.2,1,2
26.8,4,1,2
31.3,4.4,1,2
33.1,6.6,0,2
24.2,4,1,2
37.1,9.3,0,3
41.3,9.2,0,3
40.6,16.4,0,3
42.4,12.1,0,3
39.2,10.8,0,3
35.9,9.6,0,3
36.5,10.3,0,3
38.8,15.8,0,3
43.9,13.4,0,3
37.5,14,0,3
43.3,12.7,0,3
46.3,13.7,0,3
50.3,11.9,0,3
38.3,9.8,0,3
39.9,12.5,0,3
50.4,10.6,1,3
36.6,8.6,0,3
49.6,14.4,0,3
44.8,11.1,0,3
42.1,8.3,0,3
37.9,15,0,3
45.6,13.2,0,3
42.5,12.3,0,3
47.6,11.3,0,3
47.6,14.2,0,3
43.3,14.3,0,3
45.6,13.3,0,3
40.2,13.6,0,3
46.5,10.8,0,3
40.7,14.6,0,3
45.9,14.5,0,3
36.7,12.2,0,3
49.7,13.1,0,3
38.1,16.7,0,3
47,9.4,0,3
44.7,10.2,0,3
38.6,15.6,0,3
49.7,14.8,0,3
47.2,15.3,0,3
35.1,15.6,1,3
48.8,15.9,0,3
48.3,9.1,0,3
45.4,14.3,0,3
40.8,15.8,0,3
49.5,10.8,0,3
